uuid|id|name|uuid_shop|
5e3268d7-04ab-11ef-9155-7085c281e0ea|ЦБ-000332|Транзит Долгоруковская - Калужская|1de7e566-ea94-11ee-9154-7085c281e0ea|
95f86674-04ab-11ef-9155-7085c281e0ea|ЦБ-000333|Транзит Москва - Калужская|1de7e566-ea94-11ee-9154-7085c281e0ea|
a4a1ef90-04ab-11ef-9155-7085c281e0ea|ЦБ-000334|Транзит Павелецкая - Калужская|1de7e566-ea94-11ee-9154-7085c281e0ea|
af406e08-04ab-11ef-9155-7085c281e0ea|ЦБ-000335|Транзит Петровский - Калужская|1de7e566-ea94-11ee-9154-7085c281e0ea|
20b9d393-04ac-11ef-9155-7085c281e0ea|ЦБ-000336|Транзит Таганская - Калужская|1de7e566-ea94-11ee-9154-7085c281e0ea|
33e0f8d9-04ac-11ef-9155-7085c281e0ea|ЦБ-000337|Транзит Калужская - Москва|052c460c-d55f-11e9-90fb-7085c281e0ea|
74a90185-04ac-11ef-9155-7085c281e0ea|ЦБ-000338|Транзит Дорогомиловская - Калужская|1de7e566-ea94-11ee-9154-7085c281e0ea|
7fc86f57-04ac-11ef-9155-7085c281e0ea|ЦБ-000339|Транзит Калужская - Дорогомиловская|82be1061-22a4-11eb-910f-7085c281e0ea|
8bfebe78-04ac-11ef-9155-7085c281e0ea|ЦБ-000340|Транзит Калужская - Новослободская|547b8208-c5c0-11e9-90f7-7085c281e0ea|
95ecdf00-04ac-11ef-9155-7085c281e0ea|ЦБ-000341|Транзит Калужская - Павелецкая|26fa593e-4ef4-11ed-913f-7085c281e0ea|
a05bd802-04ac-11ef-9155-7085c281e0ea|ЦБ-000342|Транзит Калужская - Петровский|1fd9acf0-2d43-11ee-914a-7085c281e0ea|
a86d22ed-04ac-11ef-9155-7085c281e0ea|ЦБ-000343|Транзит Калужская - Таганская|2210c829-4c48-11ec-911a-7085c281e0ea|
00b33438-073d-11ef-9155-7085c281e0ea|ЦБ-000344|Зал продаж "Кафе" (Москва, Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
62b84b73-113e-11ef-9156-7085c281e0ea|ЦБ-000345|Склад Маркировка (FBS)|0419ada3-e2c5-11ea-910d-7085c281e0ea|
3e9584f5-137b-11ef-9156-7085c281e0ea|ЦБ-000346|Склад поступлений (ИП Ушанов)|052c460c-d55f-11e9-90fb-7085c281e0ea|
55144a88-149a-11ef-9156-7085c281e0ea|ЦБ-000347|Зал продаж "Кафе" (Спб, Фурштатская, 42)|68f5dbe7-5519-11eb-9111-7085c281e0ea|
7cec9cf7-1e7d-11ef-9158-7085c281e0ea|ЦБ-000348|Склад поступлений (ИП Мазаник Александр Петрович)|052c460c-d55f-11e9-90fb-7085c281e0ea|
8b585c2c-1e7d-11ef-9158-7085c281e0ea|ЦБ-000349|Склад поступлений (ИП Джавадян Сирануш Гарниковна)|052c460c-d55f-11e9-90fb-7085c281e0ea|
97cd793d-1e7d-11ef-9158-7085c281e0ea|ЦБ-000350|Склад поступлений (ИП Ахметзянова Азалия Радиковн)|052c460c-d55f-11e9-90fb-7085c281e0ea|
b2627766-1e88-11ef-9158-7085c281e0ea|ЦБ-000351|Товары для Белорусской|052c460c-d55f-11e9-90fb-7085c281e0ea|
e78f6682-3a9c-11ef-915d-7085c281e0ea|ЦБ-000352|Склад (1-я Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
e78f6683-3a9c-11ef-915d-7085c281e0ea|ЦБ-000353|Зал продаж (1-я Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
b39427f0-3f6f-11ef-915d-7085c281e0ea|ЦБ-000356|Зал продаж "Кафе" ( 1-ая Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
d0799b90-45b9-11ef-9164-7085c281e0ea|ЦБ-000357|Транзит ЦС - 1-я Тверская-Ямская, 36|e78f6681-3a9c-11ef-915d-7085c281e0ea|
eaea3c26-45b9-11ef-9164-7085c281e0ea|ЦБ-000358|Транзит 1 Тверская-Ямская - Москва|052c460c-d55f-11e9-90fb-7085c281e0ea|
fd63cea2-45b9-11ef-9164-7085c281e0ea|ЦБ-000359|Брак ( 1-ая Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
03e9a87d-45ba-11ef-9164-7085c281e0ea|ЦБ-000360|Новая коллекция ( 1-ая Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
1098b200-45ba-11ef-9164-7085c281e0ea|ЦБ-000361|Ремонт ( 1-ая Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
1d89c899-45ba-11ef-9164-7085c281e0ea|ЦБ-000362|Склад "Единички" ( 1-ая Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
2ab188f5-45ba-11ef-9164-7085c281e0ea|ЦБ-000363|Склад "Кафе" ( 1-ая Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
3a8cf646-45ba-11ef-9164-7085c281e0ea|ЦБ-000364|Склад "Недостачи" ( 1-ая Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
40b2899c-45ba-11ef-9164-7085c281e0ea|ЦБ-000365|Склад Маркировка ( 1-ая Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
4d7e34dd-45ba-11ef-9164-7085c281e0ea|ЦБ-000366|Склад Форма персонала ( 1-ая Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
538c8a0e-45ba-11ef-9164-7085c281e0ea|ЦБ-000367|Стирка ( 1-ая Тверская-Ямская, 36)|e78f6681-3a9c-11ef-915d-7085c281e0ea|
afd67cc3-45ba-11ef-9164-7085c281e0ea|ЦБ-000368|Транзит Долгоруковская - 1 Тверская-Ямская|e78f6681-3a9c-11ef-915d-7085c281e0ea|
c12b2fb4-45ba-11ef-9164-7085c281e0ea|ЦБ-000369|Транзит Дорогомиловская - 1 Тверская-Ямская|e78f6681-3a9c-11ef-915d-7085c281e0ea|
e0de3d0c-45ba-11ef-9164-7085c281e0ea|ЦБ-000370|Транзит Таганская - 1 Тверская-Ямская|e78f6681-3a9c-11ef-915d-7085c281e0ea|
efa5dcb1-45ba-11ef-9164-7085c281e0ea|ЦБ-000371|Транзит Павелецкая - 1 Тверская-Ямская|e78f6681-3a9c-11ef-915d-7085c281e0ea|
fb895739-45ba-11ef-9164-7085c281e0ea|ЦБ-000372|Транзит Петровский - 1 Тверская-Ямская|e78f6681-3a9c-11ef-915d-7085c281e0ea|
0355f8f5-45bb-11ef-9164-7085c281e0ea|ЦБ-000373|Транзит Калужская - 1 Тверская-Ямская|e78f6681-3a9c-11ef-915d-7085c281e0ea|
1e9bfd88-45bb-11ef-9164-7085c281e0ea|ЦБ-000374|Транзит 1 Тверская-Ямская - Дорогомиловская|82be1061-22a4-11eb-910f-7085c281e0ea|
2c21517b-45bb-11ef-9164-7085c281e0ea|ЦБ-000375|Транзит 1 Тверская-Ямская - Калужская|1de7e566-ea94-11ee-9154-7085c281e0ea|
3e5b9cae-45bb-11ef-9164-7085c281e0ea|ЦБ-000376|Транзит 1 Тверская-Ямская - Новослободская|547b8208-c5c0-11e9-90f7-7085c281e0ea|
48ec76f8-45bb-11ef-9164-7085c281e0ea|ЦБ-000377|Транзит 1 Тверская-Ямская - Павелецкая|26fa593e-4ef4-11ed-913f-7085c281e0ea|
5c89a835-45bb-11ef-9164-7085c281e0ea|ЦБ-000378|Транзит 1 Тверская-Ямская - Петровский|1fd9acf0-2d43-11ee-914a-7085c281e0ea|
72c61cb5-45bb-11ef-9164-7085c281e0ea|ЦБ-000379|Транзит 1 Тверская-Ямская - Таганская|2210c829-4c48-11ec-911a-7085c281e0ea|
ad7f132f-45cc-11ef-9164-7085c281e0ea|ЦБ-000380|Товары для Садовой|052c460c-d55f-11e9-90fb-7085c281e0ea|
a5cddb6c-6e9e-11ef-916d-7085c281e0ea|ЦБ-000381|ЦС Недостачи|052c460c-d55f-11e9-90fb-7085c281e0ea|
af76fe35-6e9e-11ef-916d-7085c281e0ea|ЦБ-000382|ПРЦ|052c460c-d55f-11e9-90fb-7085c281e0ea|
d5130bb4-7738-11ef-916d-7085c281e0ea|ЦБ-000384|Транзит ЦС - Спб, Садовая, 42|8724f6d3-f817-11ee-9155-7085c281e0ea|
eb0e52d3-7753-11ef-916d-7085c281e0ea|ЦБ-000385|Брак (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
fe569450-7753-11ef-916d-7085c281e0ea|ЦБ-000386|Ремонт (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
0e491a65-7754-11ef-916d-7085c281e0ea|ЦБ-000387|Сезон Хранение (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
272dc449-7754-11ef-916d-7085c281e0ea|ЦБ-000388|Склад "Единички" (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
3a407baf-7754-11ef-916d-7085c281e0ea|ЦБ-000389|Склад "Недостачи" (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
15322d79-7756-11ef-916d-7085c281e0ea|ЦБ-000390|Склад Маркировка (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
3b92b5d2-7756-11ef-916d-7085c281e0ea|ЦБ-000391|Склад Новая коллекция (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
52a3bde5-7756-11ef-916d-7085c281e0ea|ЦБ-000392|Склад Форма персонала (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
6c0019ad-7756-11ef-916d-7085c281e0ea|ЦБ-000393|Стирка (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
9e254c3c-7759-11ef-916d-7085c281e0ea|ЦБ-000394|Транзит Казань, Проспект - СПБ, Садовая|8724f6d3-f817-11ee-9155-7085c281e0ea|
48f7fb6c-775b-11ef-916d-7085c281e0ea|ЦБ-000395|Транзит Казань, Декабристов - СПБ, Садовая|8724f6d3-f817-11ee-9155-7085c281e0ea|
9e639bd5-775b-11ef-916d-7085c281e0ea|ЦБ-000396|Транзит СПБ, Садовая - Казань, Декабристов|96a1b993-c08a-11e7-7a69-971100038e88|
c1757f7a-775b-11ef-916d-7085c281e0ea|ЦБ-000397|Транзит СПБ, Садовая - Казань, Проспект|513386ae-b62c-11e6-7a31-d0fd004a3a26|
fe05f12f-775b-11ef-916d-7085c281e0ea|ЦБ-000398|Транзит СПБ, Садовая - Москва|052c460c-d55f-11e9-90fb-7085c281e0ea|
845b3e07-775f-11ef-916d-7085c281e0ea|ЦБ-000399|Зал продаж "Кафе" (Спб, Садовая, 42)|8724f6d3-f817-11ee-9155-7085c281e0ea|
76cbba7e-8815-11ef-916e-7085c281e0ea|ЦБ-000400|Транзит СПБ, Фурштатская - СПБ, Садовая|8724f6d3-f817-11ee-9155-7085c281e0ea|
90396623-8815-11ef-916e-7085c281e0ea|ЦБ-000401|Транзит СПБ, Садовая - СПБ, Фурштатская|68f5dbe7-5519-11eb-9111-7085c281e0ea|
adaa6157-8f83-11ef-916e-7085c281e0ea|ЦБ-000402|Сборка (Wildberries)|5b391dde-14e0-11ea-9103-7085c281e0ea|
652d5357-ac0a-11ef-9173-7085c281e0ea|ЦБ-000403|Транзит Контент - Москва|052c460c-d55f-11e9-90fb-7085c281e0ea|
b4a9db4c-be29-11ef-9175-7085c281e0ea|ЦБ-000404|FBO Lamoda|0419ada3-e2c5-11ea-910d-7085c281e0ea|
cfa577c6-c2d0-11ef-9175-7085c281e0ea|ЦБ-000405|Сборка Lamoda|0419ada3-e2c5-11ea-910d-7085c281e0ea|
3b25704f-f4ff-11ef-9175-7085c281e0ea|ЦБ-000406|Отгрузка OffPrice|052c460c-d55f-11e9-90fb-7085c281e0ea|
9b31e7c7-08af-11f0-9175-7085c281e0ea|ЦБ-000407|Транзит ЦС - ММ|dd59626c-16e6-11ed-913a-7085c281e0ea|
